Country|CountryCode|Province|Date|Confirmed|Deaths|Recovered|Active
Brazil|BR|Acre|2021-02-02|48820|873|40155|7792
Brazil|BR|Acre|2021-02-03|49049|876|43852|4321
Brazil|BR|Acre|2021-02-04|49547|879|43852|4816
Brazil|BR|Acre|2021-02-05|49944|882|44202|4860
Brazil|BR|Acre|2021-02-06|50122|884|44202|5036
Brazil|BR|Acre|2021-02-07|50122|884|44202|5036
Brazil|BR|Acre|2021-02-08|50122|884|44202|5036
Brazil|BR|Acre|2021-02-09|50546|888|44202|5456
Brazil|BR|Acre|2021-02-10|51269|900|44440|5929
Brazil|BR|Acre|2021-02-11|51679|902|44440|6337
Brazil|BR|Acre|2021-02-12|52172|907|44440|6825
Brazil|BR|Acre|2021-02-13|52548|910|45322|6316
Brazil|BR|Acre|2021-02-14|52920|917|45594|6409
Brazil|BR|Acre|2021-02-15|53027|921|45594|6512
Brazil|BR|Acre|2021-02-16|53455|931|45594|6930
Brazil|BR|Acre|2021-02-17|53590|932|45648|7010
Brazil|BR|Acre|2021-02-18|53892|940|45648|7304
Brazil|BR|Acre|2021-02-19|54130|948|45648|7534
Brazil|BR|Acre|2021-02-20|54562|951|45883|7728
Brazil|BR|Acre|2021-02-21|54743|957|45925|7861
Brazil|BR|Acre|2021-02-22|54786|963|46016|7807
Brazil|BR|Acre|2021-02-23|54969|968|46016|7985
Brazil|BR|Acre|2021-02-24|55591|974|46016|8601
Brazil|BR|Acre|2021-02-25|55881|975|46097|8809
Brazil|BR|Acre|2021-02-26|56257|982|46213|9062
Brazil|BR|Acre|2021-02-27|56731|986|46213|9532
Brazil|BR|Acre|2021-02-28|57337|996|46213|10128
Brazil|BR|Alagoas|2021-02-02|118220|2754|113185|2281
Brazil|BR|Alagoas|2021-02-03|118741|2763|113658|2320
Brazil|BR|Alagoas|2021-02-04|119088|2771|113809|2508
Brazil|BR|Alagoas|2021-02-05|119458|2780|114348|2330
Brazil|BR|Alagoas|2021-02-06|120028|2788|114837|2403
Brazil|BR|Alagoas|2021-02-07|120028|2788|114837|2403
Brazil|BR|Alagoas|2021-02-08|120028|2788|114837|2403
Brazil|BR|Alagoas|2021-02-09|120694|2805|114837|3052
Brazil|BR|Alagoas|2021-02-10|121603|2822|116188|2593
Brazil|BR|Alagoas|2021-02-11|122025|2831|116506|2688
Brazil|BR|Alagoas|2021-02-12|122491|2839|116506|3146
Brazil|BR|Alagoas|2021-02-13|122999|2848|116976|3175
Brazil|BR|Alagoas|2021-02-14|123625|2856|117956|2813
Brazil|BR|Alagoas|2021-02-15|124295|2865|118675|2755
Brazil|BR|Alagoas|2021-02-16|125044|2873|119550|2621
Brazil|BR|Alagoas|2021-02-17|125676|2883|120109|2684
Brazil|BR|Alagoas|2021-02-18|126326|2893|120691|2742
Brazil|BR|Alagoas|2021-02-19|126952|2903|120691|3358
Brazil|BR|Alagoas|2021-02-20|127341|2913|121447|2981
Brazil|BR|Alagoas|2021-02-21|127843|2923|122238|2682
Brazil|BR|Alagoas|2021-02-22|128192|2932|122264|2996
Brazil|BR|Alagoas|2021-02-23|128501|2940|122264|3297
Brazil|BR|Alagoas|2021-02-24|129046|2949|123483|2614
Brazil|BR|Alagoas|2021-02-25|129445|2959|123483|3003
Brazil|BR|Alagoas|2021-02-26|129917|2969|123631|3317
Brazil|BR|Alagoas|2021-02-27|130583|2979|123631|3973
Brazil|BR|Alagoas|2021-02-28|131066|2989|124518|3559
Brazil|BR|Amapa|2021-02-02|77404|1064|58186|18154
Brazil|BR|Amapa|2021-02-03|77729|1066|58282|18381
Brazil|BR|Amapa|2021-02-04|77989|1069|58282|18638
Brazil|BR|Amapa|2021-02-05|78213|1070|58615|18528
Brazil|BR|Amapa|2021-02-06|78423|1074|58615|18734
Brazil|BR|Amapa|2021-02-07|78423|1074|58615|18734
Brazil|BR|Amapa|2021-02-08|78423|1074|58615|18734
Brazil|BR|Amapa|2021-02-09|78799|1079|58615|19105
Brazil|BR|Amapa|2021-02-10|79274|1086|58831|19357
Brazil|BR|Amapa|2021-02-11|79504|1089|58831|19584
Brazil|BR|Amapa|2021-02-12|79835|1093|58831|19911
Brazil|BR|Amapa|2021-02-13|80191|1098|59135|19958
Brazil|BR|Amapa|2021-02-14|80374|1102|59318|19954
Brazil|BR|Amapa|2021-02-15|80528|1102|59318|20108
Brazil|BR|Amapa|2021-02-16|80663|1106|59340|20217
Brazil|BR|Amapa|2021-02-17|80940|1112|59340|20488
Brazil|BR|Amapa|2021-02-18|81211|1116|59450|20645
Brazil|BR|Amapa|2021-02-19|81470|1120|59450|20900
Brazil|BR|Amapa|2021-02-20|81689|1121|59450|21118
Brazil|BR|Amapa|2021-02-21|81874|1121|59917|20836
Brazil|BR|Amapa|2021-02-22|82015|1121|59917|20977
Brazil|BR|Amapa|2021-02-23|82378|1125|59917|21336
Brazil|BR|Amapa|2021-02-24|82606|1127|59917|21562
Brazil|BR|Amapa|2021-02-25|82868|1131|60115|21622
Brazil|BR|Amapa|2021-02-26|83062|1135|60217|21710
Brazil|BR|Amapa|2021-02-27|83279|1136|60217|21926
Brazil|BR|Amapa|2021-02-28|83505|1139|60217|22149
Brazil|BR|Amazonas|2021-02-02|268717|8266|225426|35025
Brazil|BR|Amazonas|2021-02-03|271177|8414|227654|35109
Brazil|BR|Amazonas|2021-02-04|273862|8564|227654|37644
Brazil|BR|Amazonas|2021-02-05|276551|8716|232091|35744
Brazil|BR|Amazonas|2021-02-06|278789|8815|232091|37883
Brazil|BR|Amazonas|2021-02-07|278789|8815|232091|37883
Brazil|BR|Amazonas|2021-02-08|278789|8815|232091|37883
Brazil|BR|Amazonas|2021-02-09|282739|9003|232091|41645
Brazil|BR|Amazonas|2021-02-10|285100|9285|240740|35075
Brazil|BR|Amazonas|2021-02-11|287844|9452|240740|37652
Brazil|BR|Amazonas|2021-02-12|290049|9619|244354|36076
Brazil|BR|Amazonas|2021-02-13|292494|9753|244354|38387
Brazil|BR|Amazonas|2021-02-14|294322|9819|248575|35928
Brazil|BR|Amazonas|2021-02-15|294954|9872|250178|34904
Brazil|BR|Amazonas|2021-02-16|295879|9992|250178|35709
Brazil|BR|Amazonas|2021-02-17|297687|10100|250178|37409
Brazil|BR|Amazonas|2021-02-18|299495|10181|253207|36107
Brazil|BR|Amazonas|2021-02-19|301636|10286|254834|36516
Brazil|BR|Amazonas|2021-02-20|303586|10359|254834|38393
Brazil|BR|Amazonas|2021-02-21|305250|10409|260097|34744
Brazil|BR|Amazonas|2021-02-22|306003|10462|260097|35444
Brazil|BR|Amazonas|2021-02-23|307164|10522|260097|36545
Brazil|BR|Amazonas|2021-02-24|309311|10573|260097|38641
Brazil|BR|Amazonas|2021-02-25|310919|10642|263580|36697
Brazil|BR|Amazonas|2021-02-26|312339|10728|265014|36597
Brazil|BR|Amazonas|2021-02-27|313911|10784|265014|38113
Brazil|BR|Amazonas|2021-02-28|315599|10831|265014|39754
Brazil|BR|Bahia|2021-02-02|589234|10136|566926|12172
Brazil|BR|Bahia|2021-02-03|592770|10176|570285|12309
Brazil|BR|Bahia|2021-02-04|596140|10216|573186|12738
Brazil|BR|Bahia|2021-02-05|599435|10255|576147|13033
Brazil|BR|Bahia|2021-02-06|602792|10294|579215|13283
Brazil|BR|Bahia|2021-02-07|602792|10294|579215|13283
Brazil|BR|Bahia|2021-02-08|602792|10294|584179|8319
Brazil|BR|Bahia|2021-02-09|607946|10373|584179|13394
Brazil|BR|Bahia|2021-02-10|613339|10451|589353|13535
Brazil|BR|Bahia|2021-02-11|616789|10496|592356|13937
Brazil|BR|Bahia|2021-02-12|620042|10543|592356|17143
