Country|CountryCode|Province|Week|Confirmed|Deaths|Recoverd|Active|Confirmed_AVG|Deaths_AVG|Recoverd_AVG|Active_AVG|Confirmed_MIN|Deaths_MIN|Recoverd_MIN|Active_MIN|Confirmed_MAX|Deaths_MAX|Recoverd_MAX|Active_MAX
Brazil|BR|Acre|05|1302|11|4047|3471|49600.7|879.7|43410.8|5310.2|48820|873|40155|4321|50122|884|44202|7792
Brazil|BR|Acre|06|2798|33|1392|1789|51608.0|901.1|44662.9|6044.0|50122|884|44202|5036|52920|917|45594|6825
Brazil|BR|Acre|07|1716|36|331|1349|53914.1|940.0|45705.7|7268.4|53027|921|45594|6512|54743|957|45925|7861
Brazil|BR|Acre|08|2551|33|197|2321|55936.0|977.7|46112.0|8846.3|54786|963|46016|7807|57337|996|46213|10128
Brazil|BR|Alagoas|05|1808|34|1652|227|119260.5|2774.0|114112.3|2374.2|118220|2754|113185|2281|120028|2788|114837|2508
Brazil|BR|Alagoas|06|3597|68|3119|772|121923.6|2827.0|116258.0|2838.6|120028|2788|114837|2403|123625|2856|117956|3175
Brazil|BR|Alagoas|07|3548|58|3563|737|126211.0|2893.3|120485.9|2831.9|124295|2865|118675|2621|127843|2923|122238|3358
Brazil|BR|Alagoas|08|2874|57|2254|1359|129535.7|2959.6|123324.9|3251.3|128192|2932|122264|2614|131066|2989|124518|3973
Brazil|BR|Amapa|05|1019|10|429|580|78030.2|1069.5|58432.5|18528.2|77404|1064|58186|18154|78423|1074|58615|18734
Brazil|BR|Amapa|06|1951|28|703|1224|79485.7|1088.7|58882.3|19514.7|78423|1074|58615|18734|80374|1102|59318|19958
Brazil|BR|Amapa|07|1346|19|599|1010|81196.4|1114.0|59466.4|20616.0|80528|1102|59318|20108|81874|1121|59917|21118
Brazil|BR|Amapa|08|1490|18|300|1172|82816.1|1130.6|60073.9|21611.7|82015|1121|59917|20977|83505|1139|60217|22149
Brazil|BR|Amazonas|05|10072|549|6665|2858|274647.5|8598.3|229501.2|36548.0|268717|8266|225426|35025|278789|8815|232091|37883
Brazil|BR|Amazonas|06|15533|1004|16484|6570|287333.9|9392.3|240420.7|37520.9|278789|8815|232091|35075|294322|9819|248575|41645
Brazil|BR|Amazonas|07|10296|537|9919|3649|299783.9|10171.3|253358.0|36254.6|294954|9872|250178|34744|305250|10409|260097|38393
Brazil|BR|Amazonas|08|9596|369|4917|4310|310749.4|10648.9|262701.9|37398.7|306003|10462|260097|35444|315599|10831|265014|39754
Brazil|BR|Bahia|05|13558|158|12289|1111|597193.8|10228.5|574162.3|12803.0|589234|10136|566926|12172|602792|10294|579215|13283
Brazil|BR|Bahia|06|24473|380|17419|9435|615978.7|10491.6|591333.6|14153.6|602792|10294|584179|8319|627265|10674|601598|17754
Brazil|BR|Bahia|07|21635|393|19347|5259|639761.0|10929.7|611843.7|16987.6|629849|10735|603722|15103|651484|11128|623069|20362
Brazil|BR|Bahia|08|27569|538|23152|6920|665619.3|11427.9|634210.1|19981.3|653335|11191|625441|16553|680904|11729|648593|23473
Brazil|BR|Ceara|05|5854|108|4223|4473|377948.2|10540.8|287872.2|79535.2|374856|10477|286040|77641|380710|10585|290263|82114
Brazil|BR|Ceara|06|10147|156|4791|6021|386670.6|10666.3|293462.7|82541.6|380710|10585|290977|79148|390857|10741|295768|85169
Brazil|BR|Ceara|07|14905|116|10101|4758|402992.7|10864.3|304204.4|87924.0|393650|10822|298193|84635|408555|10938|308294|89393
Brazil|BR|Ceara|08|12828|305|2915|9608|415964.9|11092.9|309022.1|95849.9|409954|10954|308294|90706|422782|11259|311209|100314
Brazil|BR|Distrito Federal|05|2119|36|2340|1619|279108.2|4585.0|268840.0|5683.2|277907|4564|267720|5051|280026|4600|270060|6670
Brazil|BR|Distrito Federal|06|4275|80|2992|1550|282421.3|4645.6|272638.0|5137.7|280026|4600|270957|4344|284301|4680|273949|5894
Brazil|BR|Distrito Federal|07|4139|59|4615|642|286834.6|4717.7|276558.7|5558.1|284838|4688|274493|5122|288977|4747|279108|5764
Brazil|BR|Distrito Federal|08|5795|74|3423|2731|292709.4|4792.0|281069.7|6847.7|289820|4757|279108|5522|295615|4831|282531|8253
Brazil|BR|Espirito Santo|05|5441|87|7367|2013|298276.5|5938.2|280591.0|11747.3|295183|5888|276098|11184|300624|5975|283465|13197
